sifra,vrsta_dela,lokacija,neto_placilo,trajanje,delovnik,prosta_mesta
346820,DIGITALNI MARKETING,LJUBLJANA,6.00 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,

346983,DELO V KUHINJI,KAMNIK,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

347300,POUČEVANJE,LJUBLJANA Z OKOLICO,9.00 €/h neto,DLJE ČASA (OBČASNO),POPOLDAN,2

347560,POMOČ V STREŽBI,ŠENTILJ,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

347619,POMOČ PRI PRODAJI,"TRŽIČ, KRANJ",5.40 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,6

347767,DELO NA TERENU,OBMOČJE GORENJSKE,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

347796,STREŽBA HRANE IN PIJAČE,LJUBLJANA - ČRNUČE,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

347829,DELO NA BENCINSKEM SERVISU,VRTOJBA,5.28 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,3

347833,STREŽBA,TREBNJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

347864,PROGRAMIRANJE,LJUBLJANA,6.40 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

347946,STREŽBA HRANE IN PIJAČE,LOŠKI POTOK,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,4

348001,POMOČ PRI PRODAJI,LJUBLJANA - PO TERENU,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

348395,POMOČ V STREŽBI,LJUBLJANA,7.50 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,2

348543,FIGURANT,SAVINJSKA REGIJA,5.49 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,

348604,STREŽBA,DOMŽALE,6.50 €/h neto,PO DOGOVORU,IZMENSKO,2

348634,GRADBENA DELA,TEREN,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

348782,STREŽBA,LJUBLJANA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

348855,DELO NA RECEPCIJI,LIPICA,6.76 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,3

348913,POMOČ V STREŽBI,LJUBLJANA - RUDNIK,6.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,3

348956,STREŽBA,PLANINA POD GOLICO,6.00 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,

348981,PROGRAMIRANJE,LJUBLJANA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

349050,STREŽBA HRANE IN PIJAČE,LJUBLJANA - CENTER,7.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,4

349213,STREŽBA,TREBNJE,7.00 €/h neto,PO DOGOVORU,IZMENSKO,

349277,POMOČ V STREŽBI,POSTOJNA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

349371,DELO V DELAVNICI,ŠKOFJA LOKA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

349429,KONTROLA KAKOVOSTI,LJUBLJANA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

349440,STREŽBA HRANE IN PIJAČE,SLOVENSKA BISTRICA,5.49 €/h neto,PO DOGOVORU,PO DOGOVORU,

349463,STREŽBA,KAMNIK,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

349528,POMOČ V STREŽBI,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

349684,STREŽBA HRANE IN PIJAČE,SEVNICA,5.50 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,

349801,STREŽBA,VOJNIK,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

349915,POMOČ V STREŽBI,BREZOVICA PRI LJUBLJANI,6.00 €/h neto,PO DOGOVORU,MED VIKENDI,3

350042,FIGURANT,"MARIBOR, LENART",6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,3

350078,PRODAJA,LJUBLJANA - ČRNUČE,7.00 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,

350391,PREVAJANJE,LJUBLJANA,6.00 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,

350475,STREŽBA,VRHNIKA,6.50 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,2

350542,POMOČ V STREŽBI,KAMNIK,6.00 €/h neto,DLJE ČASA (OBČASNO),MED VIKENDI,

350555,DELO V KUHINJI,TREBNJE,6.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

350689,POMOČ V STREŽBI,LESCE,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

350691,POMOČ V STREŽBI,KRANJ KOKRICA,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

350726,BLAGAJNIK,KRANJ,6.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,10

350817,STREŽBA,LJUBLJANA,7.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

350820,FIGURANT,LJUBLJANA,6.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,3

350825,STREŽBA,DOMŽALE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

350926,ZDRAVSTVENA NEGA,JESENICE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

351161,POMOČ V STREŽBI,PODLEHNIK,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO) MED VIKENDI,MED VIKENDI,

351182,STREŽBA,NOVA GORICA,5.50 €/h neto,PO DOGOVORU,PO DOGOVORU,2

351231,ZDRAVSTVENA NEGA,LJUBLJANA,6.59 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,5

351512,RAZVOZ,VRHNIKA / BOROVNICA,7.80 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

351742,DELO V KUHINJI,LJUBLJANA- CENTER,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

351745,STREŽBA,SORICA,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

351789,PISMONOŠA,LJUBLJANA VIČ,6.76 €/h neto,PO DOGOVORU,DOPOLDAN,2

351994,NEGOVANJE,DOMŽALE,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

352183,VZDRŽEVANJE,LJUBLJANA,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

